type,text,date
move,Cynthia Koons takes over as Health Editor at the Wall Street Journal,3/11/26
move,Anjalee Khemlani is now a Contributor for Forbes,3/11/26
move,Joyce Famikinwa hired to replace Brock Turner at Modern Healthcare,3/4/26
move,Gabe Perna retiring at the end of the month,3/5/26
move,Rebecca Torrence leaves Business Insider for Bloomberg to cover VC and startups,3/1/26
move,Emma Beavins retires from her role as staff writer at Fierce Healthcare,2/28/26
move,"The Washington Post lays off approx. one-third of staff, impacting over 300 journalists",1/15/26
story,Emma Beavins bows out with a story examining the Coalition for Health AI (CHAI) & assurance labs,2/28/26
story,"Rebecca Torrence begins covering AI, health tech, and emerging tech at Bloomberg",3/2/26
move,Julie Wernau & Melanie Evans join Tradeoffs podcast from WSJ,3/5/26
move,Teddy Rosenbluth joins NYT Well section as Health Reporter,3/5/26
move,Trisha Thadani transitions to health beat at The Washington Post,3/5/26
move,Victoria Knight (Axios Vitals) departs Axios health care policy beat,8/15/25
move,Tim Baysinger (Axios Communicators) leaves Axios media beat,3/10/25
story,Maia Anderson has returned from personal leave at Healthcare Brew,3/5/26
move,Stefanie Ilgenfritz departs WSJ after 35-year health journalism career,10/15/25
